id,exp,group,icon,model,order,pass_weight,reward,type
1116,,2,icon_type_1,[icon_lattice_green],16,100,[407301013],2
1117,,2,icon_type_3,[icon_lattice_green],17,100,[407301014],2
1118,,2,icon_type_3,[icon_lattice_White],18,100,[407301015],2
1119,,2,icon_type_3,[icon_lattice_blue],19,120,[407301016],2
1120,,2,icon_type_2,[icon_lattice_Purple],20,80,[407301017],2
1121,,2,icon_type_3,[icon_lattice_White],21,100,[407301018],2
1122,,2,icon_type_3,[icon_lattice_blue],22,100,[407301019],2
1123,,2,icon_type_5,[icon_lattice_yellow],23,-1,,3
1124,,2,icon_type_6,[icon_lattice_blue],24,120,[407301020],2
1125,,2,icon_type_3,[icon_lattice_White],25,100,[407301021],2
1126,,2,icon_type_1,[icon_lattice_green],26,100,[407301022],2
1201,,3,,[icon_lattice_start],1,-1,,1
1202,[1|5|12],3,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],2,60,[408201001|408201101|408201201|408201301],4
1203,[1|5|12],3,icon_type_2,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],3,70,[408201008|408201108|408201208|408201308],4
1204,[1|5|12],3,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],4,100,[408201009|408201109|408201209|408201309],4
1205,[1|5|12],3,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],5,100,[408201011|408201111|408201211|408201311],4
1206,,3,icon_type_5,[icon_lattice_yellow],6,-1,,3
1207,[1|5|12],3,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],7,120,[408201002|408201102|408201202|408201302],4
1208,[1|5|12],3,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],8,100,[408201015|408201115|408201215|408201315],4
1209,[1|5|12],3,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],9,100,[408201019|408201119|408201219|408201319],4
1210,[1|5|12],3,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],10,100,[408201005|408201105|408201205|408201305],4
1211,[1|5|12],3,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],11,100,[408201012|408201112|408201212|408201312],4
1212,[1|5|12],3,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],12,100,[408201020|408201120|408201220|408201320],4
1213,[1|5|12],3,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],13,100,[408201021|408201121|408201221|408201321],4
1214,,3,icon_type_5,[icon_lattice_yellow],14,-1,,3
1215,[1|5|12],3,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],15,120,[408201003|408201103|408201203|408201303],4
1216,[1|5|12],3,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],16,100,[408201016|408201116|408201216|408201316],4
1217,[1|5|12],3,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],17,100,[408201006|408201106|408201206|408201306],4
1218,[1|5|12],3,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],18,100,[408201013|408201113|408201213|408201313],4
1219,[1|5|12],3,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],19,120,[408201010|408201110|408201210|408201310],4
1220,,3,icon_type_5,[icon_lattice_yellow],20,-1,,3
1221,[1|5|12],3,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],21,120,[408201004|408201104|408201204|408201304],4
1222,[1|5|12],3,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],22,100,[408201017|408201117|408201217|408201317],4
1223,[1|5|12],3,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],23,100,[408201007|408201107|408201207|408201307],4
1224,[1|5|12],3,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],24,100,[408201014|408201114|408201214|408201314],4
1225,[1|5|12],3,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],25,100,[408201018|408201118|408201218|408201318],4
1226,[1|5|12],3,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],26,100,[408201021|408201121|408201221|408201321],4
1301,,4,,[icon_lattice_start],1,-1,,1
1302,[1|5|12],4,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],2,60,[409241001|409241101|409241201|409241301],4
1303,[1|5|12],4,icon_type_2,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],3,70,[409241008|409241108|409241208|409241308],4
1304,[1|5|12],4,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],4,100,[409241009|409241109|409241209|409241309],4
1305,[1|5|12],4,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],5,100,[409241011|409241111|409241211|409241311],4
1306,,4,icon_type_5,[icon_lattice_yellow],6,-1,,3
1307,[1|5|12],4,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],7,120,[409241002|409241102|409241202|409241302],4
1308,[1|5|12],4,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],8,100,[409241015|409241115|409241215|409241315],4
1309,[1|5|12],4,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],9,100,[409241019|409241119|409241219|409241319],4
1310,[1|5|12],4,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],10,100,[409241005|409241105|409241205|409241305],4
1311,[1|5|12],4,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],11,100,[409241012|409241112|409241212|409241312],4
1312,[1|5|12],4,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],12,100,[409241020|409241120|409241220|409241320],4
1313,[1|5|12],4,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],13,100,[409241021|409241121|409241221|409241321],4
1314,,4,icon_type_5,[icon_lattice_yellow],14,-1,,3
1315,[1|5|12],4,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],15,120,[409241003|409241103|409241203|409241303],4
1316,[1|5|12],4,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],16,100,[409241016|409241116|409241216|409241316],4
1317,[1|5|12],4,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],17,100,[409241006|409241106|409241206|409241306],4
1318,[1|5|12],4,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],18,100,[409241013|409241113|409241213|409241313],4
1319,[1|5|12],4,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],19,120,[409241010|409241110|409241210|409241310],4
1320,,4,icon_type_5,[icon_lattice_yellow],20,-1,,3
1321,[1|5|12],4,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],21,120,[409241004|409241104|409241204|409241304],4
1322,[1|5|12],4,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],22,100,[409241017|409241117|409241217|409241317],4
1323,[1|5|12],4,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],23,100,[409241007|409241107|409241207|409241307],4
1324,[1|5|12],4,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],24,100,[409241014|409241114|409241214|409241314],4
1325,[1|5|12],4,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],25,100,[409241018|409241118|409241218|409241318],4
1326,[1|5|12],4,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],26,100,[409241021|409241121|409241221|409241321],4
1327,,5,,[icon_lattice_start],1,-1,,1
1328,[1|5|12],5,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],2,60,[411086001|411086101|411086201|411086301],4
1329,[1|5|12],5,icon_type_2,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],3,70,[411086008|411086108|411086208|411086308],4
1330,[1|5|12],5,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],4,100,[411086009|411086109|411086209|411086309],4
1331,[1|5|12],5,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],5,100,[411086011|411086111|411086211|411086311],4
1332,,5,icon_type_5,[icon_lattice_yellow],6,-1,,3
1333,[1|5|12],5,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],7,120,[411086002|411086102|411086202|411086302],4
1334,[1|5|12],5,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],8,100,[411086015|411086115|411086215|411086315],4
1335,[1|5|12],5,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],9,100,[411086019|411086119|411086219|411086319],4
1336,[1|5|12],5,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],10,100,[411086005|411086105|411086205|411086305],4
1337,[1|5|12],5,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],11,100,[411086012|411086112|411086212|411086312],4
1338,[1|5|12],5,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],12,100,[411086020|411086120|411086220|411086320],4
1339,[1|5|12],5,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],13,100,[411086021|411086121|411086221|411086321],4
1340,,5,icon_type_5,[icon_lattice_yellow],14,-1,,3
1341,[1|5|12],5,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],15,120,[411086003|411086103|411086203|411086303],4
1342,[1|5|12],5,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],16,100,[411086016|411086116|411086216|411086316],4
1343,[1|5|12],5,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],17,100,[411086006|411086106|411086206|411086306],4
1344,[1|5|12],5,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],18,100,[411086013|411086113|411086213|411086313],4
1345,[1|5|12],5,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],19,120,[411086010|411086110|411086210|411086310],4
1346,,5,icon_type_5,[icon_lattice_yellow],20,-1,,3
1347,[1|5|12],5,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],21,120,[411086004|411086104|411086204|411086304],4
1348,[1|5|12],5,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],22,100,[411086017|411086117|411086217|411086317],4
1349,[1|5|12],5,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],23,100,[411086007|411086107|411086207|411086307],4
1350,[1|5|12],5,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],24,100,[411086014|411086114|411086214|411086314],4
1351,[1|5|12],5,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],25,100,[411086018|411086118|411086218|411086318],4
1352,[1|5|12],5,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],26,100,[411086021|411086121|411086221|411086321],4
1353,,6,,[icon_lattice_start],1,-1,,1
1354,[1|5|12],6,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],2,60,[412191001|412191101|412191201|412191301],4
1355,[1|5|12],6,icon_type_2,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],3,70,[412191008|412191108|412191208|412191308],4
1356,[1|5|12],6,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],4,100,[412191009|412191109|412191209|412191309],4
1357,[1|5|12],6,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],5,100,[412191011|412191111|412191211|412191311],4
1358,,6,icon_type_5,[icon_lattice_yellow],6,-1,,3
1359,[1|5|12],6,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],7,120,[412191002|412191102|412191202|412191302],4
1360,[1|5|12],6,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],8,100,[412191015|412191115|412191215|412191315],4
1361,[1|5|12],6,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],9,100,[412191019|412191119|412191219|412191319],4
1362,[1|5|12],6,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],10,100,[412191005|412191105|412191205|412191305],4
1363,[1|5|12],6,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],11,100,[412191012|412191112|412191212|412191312],4
1364,[1|5|12],6,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],12,100,[412191020|412191120|412191220|412191320],4
1365,[1|5|12],6,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],13,100,[412191021|412191121|412191221|412191321],4
1366,,6,icon_type_5,[icon_lattice_yellow],14,-1,,3
1367,[1|5|12],6,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],15,120,[412191003|412191103|412191203|412191303],4
1368,[1|5|12],6,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],16,100,[412191016|412191116|412191216|412191316],4
1369,[1|5|12],6,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],17,100,[412191006|412191106|412191206|412191306],4
1370,[1|5|12],6,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],18,100,[412191013|412191113|412191213|412191313],4
1371,[1|5|12],6,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],19,120,[412191010|412191110|412191210|412191310],4
1372,,6,icon_type_5,[icon_lattice_yellow],20,-1,,3
1373,[1|5|12],6,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],21,120,[412191004|412191104|412191204|412191304],4
1374,[1|5|12],6,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],22,100,[412191017|412191117|412191217|412191317],4
1375,[1|5|12],6,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],23,100,[412191007|412191107|412191207|412191307],4
1376,[1|5|12],6,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],24,100,[412191014|412191114|412191214|412191314],4
1377,[1|5|12],6,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],25,100,[412191018|412191118|412191218|412191318],4
1378,[1|5|12],6,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],26,100,[412191021|412191121|412191221|412191321],4
1379,,7,,[icon_lattice_start],1,-1,,1
1380,[1|5|12],7,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],2,60,[503171001|503171101|503171201|503171301],4
1381,[1|5|12],7,icon_type_2,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],3,70,[503171008|503171108|503171208|503171308],4
1382,[1|5|12],7,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],4,100,[503171009|503171109|503171209|503171309],4
1383,[1|5|12],7,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],5,100,[503171011|503171111|503171211|503171311],4
1384,,7,icon_type_5,[icon_lattice_yellow],6,-1,,3
1385,[1|5|12],7,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],7,120,[503171002|503171102|503171202|503171302],4
1386,[1|5|12],7,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],8,100,[503171015|503171115|503171215|503171315],4
1387,[1|5|12],7,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],9,100,[503171019|503171119|503171219|503171319],4
1388,[1|5|12],7,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],10,100,[503171005|503171105|503171205|503171305],4
1389,[1|5|12],7,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],11,100,[503171012|503171112|503171212|503171312],4
1390,[1|5|12],7,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],12,100,[503171020|503171120|503171220|503171320],4
1391,[1|5|12],7,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],13,100,[503171021|503171121|503171221|503171321],4
1392,,7,icon_type_5,[icon_lattice_yellow],14,-1,,3
1393,[1|5|12],7,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],15,120,[503171003|503171103|503171203|503171303],4
1394,[1|5|12],7,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],16,100,[503171016|503171116|503171216|503171316],4
1395,[1|5|12],7,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],17,100,[503171006|503171106|503171206|503171306],4
1396,[1|5|12],7,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],18,100,[503171013|503171113|503171213|503171313],4
1397,[1|5|12],7,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],19,120,[503171010|503171110|503171210|503171310],4
1398,,7,icon_type_5,[icon_lattice_yellow],20,-1,,3
1399,[1|5|12],7,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],21,120,[503171004|503171104|503171204|503171304],4
1400,[1|5|12],7,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],22,100,[503171017|503171117|503171217|503171317],4
1401,[1|5|12],7,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],23,100,[503171007|503171107|503171207|503171307],4
1402,[1|5|12],7,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],24,100,[503171014|503171114|503171214|503171314],4
1403,[1|5|12],7,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],25,100,[503171018|503171118|503171218|503171318],4
1404,[1|5|12],7,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple],26,100,[503171021|503171121|503171221|503171321],4
1405,,8,,[icon_lattice_start],1,-1,,1
1406,[1|5|12|27],8,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],2,60,[506171001|506171101|506171201|506171301|506171401],4
1407,[1|5|12|27],8,icon_type_2,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],3,70,[506171008|506171108|506171208|506171308|506171408],4
1408,[1|5|12|27],8,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],4,100,[506171009|506171109|506171209|506171309|506171409],4
1409,[1|5|12|27],8,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],5,100,[506171011|506171111|506171211|506171311|506171411],4
1410,,8,icon_type_5,[icon_lattice_yellow],6,-1,,3
1411,[1|5|12|27],8,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],7,120,[506171002|506171102|506171202|506171302|506171402],4
1412,[1|5|12|27],8,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],8,100,[506171015|506171115|506171215|506171315|506171415],4
1413,[1|5|12|27],8,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],9,100,[506171019|506171119|506171219|506171319|506171419],4
1414,[1|5|12|27],8,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],10,100,[506171005|506171105|506171205|506171305|506171405],4
1415,[1|5|12|27],8,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],11,100,[506171012|506171112|506171212|506171312|506171412],4
1416,[1|5|12|27],8,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],12,100,[506171020|506171120|506171220|506171320|506171420],4
1417,[1|5|12|27],8,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],13,100,[506171021|506171121|506171221|506171321|506171421],4
1418,,8,icon_type_5,[icon_lattice_yellow],14,-1,,3
1419,[1|5|12|27],8,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],15,120,[506171003|506171103|506171203|506171303|506171403],4
1420,[1|5|12|27],8,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],16,100,[506171016|506171116|506171216|506171316|506171416],4
1421,[1|5|12|27],8,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],17,100,[506171006|506171106|506171206|506171306|506171406],4
1422,[1|5|12|27],8,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],18,100,[506171013|506171113|506171213|506171313|506171413],4
1423,[1|5|12|27],8,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],19,120,[506171010|506171110|506171210|506171310|506171410],4
1424,,8,icon_type_5,[icon_lattice_yellow],20,-1,,3
1425,[1|5|12|27],8,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],21,120,[506171004|506171104|506171204|506171304|506171404],4
1426,[1|5|12|27],8,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],22,100,[506171017|506171117|506171217|506171317|506171417],4
1427,[1|5|12|27],8,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],23,100,[506171007|506171107|506171207|506171307|506171407],4
1428,[1|5|12|27],8,icon_type_3,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],24,100,[506171014|506171114|506171214|506171314|506171414],4
1429,[1|5|12|27],8,icon_type_1,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],25,100,[506171018|506171118|506171218|506171318|506171418],4
1430,[1|5|12|27],8,icon_type_6,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],26,100,[506171021|506171121|506171221|506171321|506171421],4
1431,,9,,[icon_lattice_start],1,-1,,1
1432,[1|5|12|27],9,icon_type_4,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],2,60,[509172001|509172101|509172201|509172301|509172401],4
1433,[1|5|12|27],9,icon_type_2,[icon_lattice_White|icon_lattice_green|icon_lattice_blue|icon_lattice_Purple|icon_lattice_yellow],3,70,[509172008|509172108|509172208|509172308|509172408],4
