id,attribute_rate_random,break_reward,camp_random,equip_random,equipment_star_random,exp,get_exp,level,make_cost,make_success,makeCost,pre_building_level,preBuildLv,quality_random,qualityRandom,starRandom
14,"7500|7500|0,7500|8999|0,10000|10000|102",2|206|50,"0|300,1|100,2|100,3|100","221|16650,222|16650,223|16650,224|16650,321|5125,322|5125,323|5125,324|5125,411|1300,412|1300,413|1300,414|1300,431|1300,432|1300,433|1300,434|1300,511|208,512|208,513|208,514|208,531|208,532|208,533|208,534|208,521|208,522|208,523|208,524|208",[0|57|1|21|2|22],440,10,14,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|666|3|205|4|104|5|25],[[2|666]|[3|205]|[4|104]|[5|25]],[[0|57]|[1|21]|[2|22]]
15,"7400|7400|0,7400|8800|0,10000|10000|103",2|206|50,"0|300,1|100,2|100,3|100","221|16625,222|16625,223|16625,224|16625,321|5125,322|5125,323|5125,324|5125,411|1312,412|1312,413|1312,414|1312,431|1312,432|1312,433|1312,434|1312,511|208,512|208,513|208,514|208,531|208,532|208,533|208,534|208,521|208,522|208,523|208,524|208",[0|57|1|21|2|22],480,10,15,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|665|3|205|4|105|5|25],[[2|665]|[3|205]|[4|105]|[5|25]],[[0|57]|[1|21]|[2|22]]
16,"7500|7500|0,7500|8999|0,10000|10000|103",2|206|50,"0|300,1|100,2|100,3|100","221|16450,222|16450,223|16450,224|16450,321|5250,322|5250,323|5250,324|5250,411|1325,412|1325,413|1325,414|1325,431|1325,432|1325,433|1325,434|1325,511|216,512|216,513|216,514|216,531|216,532|216,533|216,534|216,521|216,522|216,523|216,524|216",[0|57|1|21|2|22],520,10,16,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|658|3|210|4|106|5|26],[[2|658]|[3|210]|[4|106]|[5|26]],[[0|57]|[1|21]|[2|22]]
17,"7400|7400|0,7400|8800|0,10000|10000|104",2|206|50,"0|300,1|100,2|100,3|100","221|16425,222|16425,223|16425,224|16425,321|5250,322|5250,323|5250,324|5250,411|1337,412|1337,413|1337,414|1337,431|1337,432|1337,433|1337,434|1337,511|216,512|216,513|216,514|216,531|216,532|216,533|216,534|216,521|216,522|216,523|216,524|216",[0|57|1|21|2|22],560,10,17,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|657|3|210|4|107|5|26],[[2|657]|[3|210]|[4|107]|[5|26]],[[0|57]|[1|21]|[2|22]]
18,"7500|7500|0,7500|8999|0,10000|10000|104",2|206|50,"0|300,1|100,2|100,3|100","221|16400,222|16400,223|16400,224|16400,321|5250,322|5250,323|5250,324|5250,411|1350,412|1350,413|1350,414|1350,431|1350,432|1350,433|1350,434|1350,511|216,512|216,513|216,514|216,531|216,532|216,533|216,534|216,521|216,522|216,523|216,524|216",[0|54|1|23|2|23],600,10,18,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|656|3|210|4|108|5|26],[[2|656]|[3|210]|[4|108]|[5|26]],[[0|54]|[1|23]|[2|23]]
19,"7400|7400|0,7400|8800|0,10000|10000|105",2|206|50,"0|300,1|100,2|100,3|100","221|16375,222|16375,223|16375,224|16375,321|5250,322|5250,323|5250,324|5250,411|1362,412|1362,413|1362,414|1362,431|1362,432|1362,433|1362,434|1362,511|216,512|216,513|216,514|216,531|216,532|216,533|216,534|216,521|216,522|216,523|216,524|216",[0|54|1|23|2|23],640,10,19,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|655|3|210|4|109|5|26],[[2|655]|[3|210]|[4|109]|[5|26]],[[0|54]|[1|23]|[2|23]]
20,"7500|7500|0,7500|8999|0,10000|10000|105",2|206|50,"0|300,1|100,2|100,3|100","221|16350,222|16350,223|16350,224|16350,321|5250,322|5250,323|5250,324|5250,411|1375,412|1375,413|1375,414|1375,431|1375,432|1375,433|1375,434|1375,511|216,512|216,513|216,514|216,531|216,532|216,533|216,534|216,521|216,522|216,523|216,524|216",[0|54|1|23|2|23],680,10,20,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|654|3|210|4|110|5|26],[[2|654]|[3|210]|[4|110]|[5|26]],[[0|54]|[1|23]|[2|23]]
21,"7400|7400|0,7400|8800|0,10000|10000|106",2|206|50,"0|300,1|100,2|100,3|100","221|16325,222|16325,223|16325,224|16325,321|5250,322|5250,323|5250,324|5250,411|1387,412|1387,413|1387,414|1387,431|1387,432|1387,433|1387,434|1387,511|216,512|216,513|216,514|216,531|216,532|216,533|216,534|216,521|216,522|216,523|216,524|216",[0|54|1|23|2|23],720,10,21,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|653|3|210|4|111|5|26],[[2|653]|[3|210]|[4|111]|[5|26]],[[0|54]|[1|23]|[2|23]]
22,"7500|7500|0,7500|8999|0,10000|10000|106",2|206|50,"0|300,1|100,2|100,3|100","221|16150,222|16150,223|16150,224|16150,321|5375,322|5375,323|5375,324|5375,411|1400,412|1400,413|1400,414|1400,431|1400,432|1400,433|1400,434|1400,511|225,512|225,513|225,514|225,531|225,532|225,533|225,534|225,521|225,522|225,523|225,524|225",[0|54|1|23|2|23],760,10,22,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|646|3|215|4|112|5|27],[[2|646]|[3|215]|[4|112]|[5|27]],[[0|54]|[1|23]|[2|23]]
23,"7400|7400|0,7400|8800|0,10000|10000|107",2|206|50,"0|300,1|100,2|100,3|100","221|16125,222|16125,223|16125,224|16125,321|5375,322|5375,323|5375,324|5375,411|1412,412|1412,413|1412,414|1412,431|1412,432|1412,433|1412,434|1412,511|225,512|225,513|225,514|225,531|225,532|225,533|225,534|225,521|225,522|225,523|225,524|225",[0|52|1|24|2|24],800,10,23,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|645|3|215|4|113|5|27],[[2|645]|[3|215]|[4|113]|[5|27]],[[0|52]|[1|24]|[2|24]]
24,"7500|7500|0,7500|8999|0,10000|10000|107",2|206|50,"0|300,1|100,2|100,3|100","221|16100,222|16100,223|16100,224|16100,321|5375,322|5375,323|5375,324|5375,411|1425,412|1425,413|1425,414|1425,431|1425,432|1425,433|1425,434|1425,511|225,512|225,513|225,514|225,531|225,532|225,533|225,534|225,521|225,522|225,523|225,524|225",[0|52|1|24|2|24],840,10,24,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|644|3|215|4|114|5|27],[[2|644]|[3|215]|[4|114]|[5|27]],[[0|52]|[1|24]|[2|24]]
25,"7400|7400|0,7400|8800|0,10000|10000|108",2|206|50,"0|300,1|100,2|100,3|100","221|16075,222|16075,223|16075,224|16075,321|5375,322|5375,323|5375,324|5375,411|1437,412|1437,413|1437,414|1437,431|1437,432|1437,433|1437,434|1437,511|225,512|225,513|225,514|225,531|225,532|225,533|225,534|225,521|225,522|225,523|225,524|225",[0|51|1|25|2|24],880,10,25,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|643|3|215|4|115|5|27],[[2|643]|[3|215]|[4|115]|[5|27]],[[0|51]|[1|25]|[2|24]]
26,"7400|7400|0,7400|8800|0,10000|10000|101",2|206|50,"0|300,1|100,2|100,3|100","221|16050,222|16050,223|16050,224|16050,321|5375,322|5375,323|5375,324|5375,411|1450,412|1450,413|1450,414|1450,431|1450,432|1450,433|1450,434|1450,511|225,512|225,513|225,514|225,531|225,532|225,533|225,534|225,521|225,522|225,523|225,524|225",[0|51|1|25|2|24],920,10,26,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|642|3|215|4|116|5|27],[[2|642]|[3|215]|[4|116]|[5|27]],[[0|51]|[1|25]|[2|24]]
27,"7500|7500|0,7500|8999|0,10000|10000|101",2|206|50,"0|300,1|100,2|100,3|100","221|16025,222|16025,223|16025,224|16025,321|5375,322|5375,323|5375,324|5375,411|1462,412|1462,413|1462,414|1462,431|1462,432|1462,433|1462,434|1462,511|225,512|225,513|225,514|225,531|225,532|225,533|225,534|225,521|225,522|225,523|225,524|225",[0|51|1|25|2|24],960,10,27,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|641|3|215|4|117|5|27],[[2|641]|[3|215]|[4|117]|[5|27]],[[0|51]|[1|25]|[2|24]]
28,"7400|7400|0,7400|8800|0,10000|10000|102",2|206|50,"0|300,1|100,2|100,3|100","221|15850,222|15850,223|15850,224|15850,321|5500,322|5500,323|5500,324|5500,411|1475,412|1475,413|1475,414|1475,431|1475,432|1475,433|1475,434|1475,511|233,512|233,513|233,514|233,531|233,532|233,533|233,534|233,521|233,522|233,523|233,524|233",[0|50|1|25|2|25],1000,10,28,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|634|3|220|4|118|5|28],[[2|634]|[3|220]|[4|118]|[5|28]],[[0|50]|[1|25]|[2|25]]
29,"7500|7500|0,7500|8999|0,10000|10000|102",2|206|50,"0|300,1|100,2|100,3|100","221|15825,222|15825,223|15825,224|15825,321|5500,322|5500,323|5500,324|5500,411|1487,412|1487,413|1487,414|1487,431|1487,432|1487,433|1487,434|1487,511|233,512|233,513|233,514|233,531|233,532|233,533|233,534|233,521|233,522|233,523|233,524|233",[0|50|1|25|2|25],1040,10,29,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|633|3|220|4|119|5|28],[[2|633]|[3|220]|[4|119]|[5|28]],[[0|50]|[1|25]|[2|25]]
30,"7400|7400|0,7400|8800|0,10000|10000|103",2|206|50,"0|300,1|100,2|100,3|100","221|15800,222|15800,223|15800,224|15800,321|5500,322|5500,323|5500,324|5500,411|1500,412|1500,413|1500,414|1500,431|1500,432|1500,433|1500,434|1500,511|233,512|233,513|233,514|233,531|233,532|233,533|233,534|233,521|233,522|233,523|233,524|233",[0|50|1|25|2|25],1080,10,30,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|632|3|220|4|120|5|28],[[2|632]|[3|220]|[4|120]|[5|28]],[[0|50]|[1|25]|[2|25]]
31,"7500|7500|0,7500|8999|0,10000|10000|103",2|206|50,"0|300,1|100,2|100,3|100","221|15775,222|15775,223|15775,224|15775,321|5500,322|5500,323|5500,324|5500,411|1512,412|1512,413|1512,414|1512,431|1512,432|1512,433|1512,434|1512,511|233,512|233,513|233,514|233,531|233,532|233,533|233,534|233,521|233,522|233,523|233,524|233",[0|50|1|25|2|25],1120,10,31,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|631|3|220|4|121|5|28],[[2|631]|[3|220]|[4|121]|[5|28]],[[0|50]|[1|25]|[2|25]]
32,"7400|7400|0,7400|8800|0,10000|10000|104",2|206|50,"0|300,1|100,2|100,3|100","221|15750,222|15750,223|15750,224|15750,321|5500,322|5500,323|5500,324|5500,411|1525,412|1525,413|1525,414|1525,431|1525,432|1525,433|1525,434|1525,511|233,512|233,513|233,514|233,531|233,532|233,533|233,534|233,521|233,522|233,523|233,524|233",[0|50|1|25|2|25],1160,10,32,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|630|3|220|4|122|5|28],[[2|630]|[3|220]|[4|122]|[5|28]],[[0|50]|[1|25]|[2|25]]
33,"7500|7500|0,7500|8999|0,10000|10000|104",2|206|50,"0|300,1|100,2|100,3|100","221|15725,222|15725,223|15725,224|15725,321|5500,322|5500,323|5500,324|5500,411|1537,412|1537,413|1537,414|1537,431|1537,432|1537,433|1537,434|1537,511|233,512|233,513|233,514|233,531|233,532|233,533|233,534|233,521|233,522|233,523|233,524|233",[0|48|1|26|2|26],1200,10,33,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|629|3|220|4|123|5|28],[[2|629]|[3|220]|[4|123]|[5|28]],[[0|48]|[1|26]|[2|26]]
34,"7400|7400|0,7400|8800|0,10000|10000|101",2|206|50,"0|300,1|100,2|100,3|100","221|15550,222|15550,223|15550,224|15550,321|5625,322|5625,323|5625,324|5625,411|1550,412|1550,413|1550,414|1550,431|1550,432|1550,433|1550,434|1550,511|241,512|241,513|241,514|241,531|241,532|241,533|241,534|241,521|241,522|241,523|241,524|241",[0|48|1|26|2|26],1240,10,34,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|622|3|225|4|124|5|29],[[2|622]|[3|225]|[4|124]|[5|29]],[[0|48]|[1|26]|[2|26]]
35,"7500|7500|0,7500|8999|0,10000|10000|101",2|206|50,"0|300,1|100,2|100,3|100","221|15525,222|15525,223|15525,224|15525,321|5625,322|5625,323|5625,324|5625,411|1562,412|1562,413|1562,414|1562,431|1562,432|1562,433|1562,434|1562,511|241,512|241,513|241,514|241,531|241,532|241,533|241,534|241,521|241,522|241,523|241,524|241",[0|48|1|26|2|26],1280,10,35,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|621|3|225|4|125|5|29],[[2|621]|[3|225]|[4|125]|[5|29]],[[0|48]|[1|26]|[2|26]]
36,"7400|7400|0,7400|8800|0,10000|10000|102",2|206|50,"0|300,1|100,2|100,3|100","221|15500,222|15500,223|15500,224|15500,321|5625,322|5625,323|5625,324|5625,411|1575,412|1575,413|1575,414|1575,431|1575,432|1575,433|1575,434|1575,511|241,512|241,513|241,514|241,531|241,532|241,533|241,534|241,521|241,522|241,523|241,524|241",[0|48|1|26|2|26],1320,10,36,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|620|3|225|4|126|5|29],[[2|620]|[3|225]|[4|126]|[5|29]],[[0|48]|[1|26]|[2|26]]
37,"7500|7500|0,7500|8999|0,10000|10000|102",2|206|50,"0|300,1|100,2|100,3|100","221|15475,222|15475,223|15475,224|15475,321|5625,322|5625,323|5625,324|5625,411|1587,412|1587,413|1587,414|1587,431|1587,432|1587,433|1587,434|1587,511|241,512|241,513|241,514|241,531|241,532|241,533|241,534|241,521|241,522|241,523|241,524|241",[0|48|1|26|2|26],1360,10,37,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|619|3|225|4|127|5|29],[[2|619]|[3|225]|[4|127]|[5|29]],[[0|48]|[1|26]|[2|26]]
38,"7400|7400|0,7400|8800|0,10000|10000|103",2|206|50,"0|300,1|100,2|100,3|100","221|15450,222|15450,223|15450,224|15450,321|5625,322|5625,323|5625,324|5625,411|1600,412|1600,413|1600,414|1600,431|1600,432|1600,433|1600,434|1600,511|241,512|241,513|241,514|241,531|241,532|241,533|241,534|241,521|241,522|241,523|241,524|241",[0|48|1|26|2|26],1400,10,38,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|618|3|225|4|128|5|29],[[2|618]|[3|225]|[4|128]|[5|29]],[[0|48]|[1|26]|[2|26]]
39,"7500|7500|0,7500|8999|0,10000|10000|103",2|206|50,"0|300,1|100,2|100,3|100","221|15425,222|15425,223|15425,224|15425,321|5625,322|5625,323|5625,324|5625,411|1612,412|1612,413|1612,414|1612,431|1612,432|1612,433|1612,434|1612,511|241,512|241,513|241,514|241,531|241,532|241,533|241,534|241,521|241,522|241,523|241,524|241",[0|48|1|26|2|26],1440,10,39,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|617|3|225|4|129|5|29],[[2|617]|[3|225]|[4|129]|[5|29]],[[0|48]|[1|26]|[2|26]]
40,"7400|7400|0,7400|8800|0,10000|10000|101",2|206|50,"0|300,1|100,2|100,3|100","221|15250,222|15250,223|15250,224|15250,321|5750,322|5750,323|5750,324|5750,411|1625,412|1625,413|1625,414|1625,431|1625,432|1625,433|1625,434|1625,511|250,512|250,513|250,514|250,531|250,532|250,533|250,534|250,521|250,522|250,523|250,524|250",[0|48|1|26|2|26],1480,10,40,[2|404100005|6],10000,[2|404100005|6],[117|3],[117|3],[2|610|3|230|4|130|5|30],[[2|610]|[3|230]|[4|130]|[5|30]],[[0|48]|[1|26]|[2|26]]
